,id,workshop_id,difficulty,assistants_score,knowledge,objectives,timeliness,venue_score,satisfaction_score,comments
0,13,1,4,4,4,4,4,4,5.0,thank you sam
1,14,1,2,5,5,4,2,4,4.0,"more time, more training with all the codes, more sampling data, if possible please use bahasa indonesia"
2,273,19,3,5,5,4,4,4,5.0,"AC is too cold, food is not better than previous vendor, maybe sam should show what we are getting in the early class"
3,289,20,4,4,5,4,2,3,,sam taught the topics very fast
4,309,21,4,4,4,5,4,3,,sam too fast
5,380,24,5,5,5,5,5,5,,more sample about data statistics not only descriptive statistics
6,410,26,3,5,4,4,3,4,,Dont too fast sam :)
7,435,27,3,4,4,4,2,3,,"in the second day the trainer present too fast, need more applicable sample"
8,532,32,5,5,5,5,2,5,5.0,sam too fast sometime
9,539,32,4,4,5,5,3,5,,sam teach very fast and in english
10,580,35,4,5,5,4,2,4,,need more advance training with same category
11,646,39,5,5,5,5,4,5,5.0,Samuel Chan is good and knowledgeable
12,691,42,3,4,5,5,4,5,4.0,"Saya suka tempat pelatihannya comfy sama nyaman, tapi agak terganggu kalau ada live music, saran saya unutk pelatihannya antara di greenoffice atau di ariobimo jangan di hotel novetel lagi plis"
13,723,44,4,5,5,4,4,5,4.0,saya berharap kelasnya bisa seterusnya mulainya jam 18.30 karena saya kerja sampai jam 17.30 jadai saya tidak perlu izin pulang lebih cepat setiap kali mau course terima kasih :)
14,803,51,4,4,4,4,4,4,4.0,materi terlalu banyak yang disampaikan
15,860,54,2,5,5,2,4,5,3.0,"Samuel sangat menguasai lesson yang dia ajarkan, tetapi mengajar terlalu cepat dan beberapa hal yang penting tertinggal. seperti istilah2 yang seharusnya diketahui terlebih dahulu. Tetapi Samuel sudah mengantisipasi dengan memberikan notes dan practices."
16,865,54,4,4,5,4,2,4,4.0,Often times Sam would repeat the same points over and over again. Would be better if he can keep it concise and let the audience think and ask (if they have any questions)
17,972,67,4,5,4,5,4,5,5.0,"Materi yang diberikan terstruktur, cukup mendalam, dan disampaikan secara menarik dan mudah dimengerti. Jika dipertahankan terus seperti ini akan baik sekali."
18,973,67,4,4,5,3,4,5,5.0,"assistant nya jangan cuma satu mungkin ya, jadi kl bingung harus nunggu buat disamperin terus keburu ketinggalan sama materi yg lagi diajarin. overall tp gokil dapet ilmu banyak bgt hari ini thankyou"
19,1014,96,2,4,5,5,5,5,5.0,ada tambahan kelas kalau ada student yang tidak pernah belajar coding sama sekali
20,1104,122,2,5,5,2,5,4,3.0,"Bahasa yang digunakan perlu mengakomodir audience yang tidak mengerti istilah statistic, penggunaan jargon harus diistilahkan dengan hal yang lebih mudah agar setiap knowledge yang disampaikan tidak terputus"
21,1154,104,2,4,5,3,1,4,5.0,The concept on logical thinking should be more emphasized.  I understand better when sam teach the class??
22,1183,107,4,5,4,5,4,5,5.0,"Materi yang diberikan terstruktur, cukup mendalam, dan disampaikan secara menarik dan mudah dimengerti. Jika dipertahankan terus seperti ini akan baik sekali."
23,1184,107,4,4,5,3,4,5,5.0,"assistant nya jangan cuma satu mungkin ya, jadi kl bingung harus nunggu buat disamperin terus keburu ketinggalan sama materi yg lagi diajarin. overall tp gokil dapet ilmu banyak bgt hari ini thankyou"
24,1295,121,1,4,5,5,3,5,5.0,"Mas Ahmads teaching skill is second to Sam in my opinion; clear, structured and helpful"
25,1350,137,5,5,5,5,5,5,5.0,excellent lecturer. really easy to understand with very clear pronunciation and easy-to-understand language. Looking forward to study more classes with Sam!
26,1427,140,4,4,4,3,4,4,4.0,"Materi disampaikan dengan rapih, bagaimana agar mudah diterima dan lebih mudah dipahami. Sudah bagus ada ice breaking berupa quiz, semoga ke depannya kuis nya bisa lebih menarik dan ada hadiahnya hahaha. Semoga snacknya tetap ada :D"
27,1457,142,2,4,4,4,2,4,4.0,"Lebih banyak di beri challenge untuk meniru suatu case bersama-sama, step by step dari awal, seperti cara buat visual gojek dg thema pahlawan di keseharian kita, atau case lainnya"
28,1475,144,5,5,5,5,5,5,5.0,"Semoga Minggu terakhir student track lebih menyenangkan, ada sesi foto bersama dan acara penutup"
29,1835,210,2,1,3,2,3,3,1.0,"bagas menjelaskan tidak sebaik tiara, tidak tahu apa yg sedang dibahas, jalan terusss.
ardito tidak menguasai sama sekali"
30,1864,213,4,5,5,5,5,5,5.0,Samuel Chan is very smart and inspirational person
31,1868,213,5,4,4,4,3,4,5.0,Sam the Man!
32,1869,213,5,5,5,5,5,5,5.0,better sam will teach till the end of the course
33,1875,213,4,5,5,5,4,2,5.0,"Sam has great experience on the data science.
However, he has quick pace for explaining materials, which find me a little bit difficult to follow due to my background.
Anyway, great job overall."
34,1878,213,5,5,5,5,5,5,5.0,Samuel has wealth of knowledge from his years of experience 
35,1879,213,4,4,5,5,4,4,5.0,"I like Sam, he brings the material very well and very resourceful in the knowledge. I like his delivery, energy and examples. For pace wise maybe on some areas (more complex material- feature engineering) can be abit slower; however overall learned so much would love to have him continue teaching this class.

-bianca"
36,2070,250,5,5,5,5,5,5,5.0,The lecturer and the assistants are doing a wonderful job with this lecture. They kept me very well engaged throughout the session and are very knowledgeable. The venue is small but very cozy and have basement parking which keeps my car parked comfortably cool under a shade. Training is interactive and allows students to immerse first hand at programming with R. Also very happy to get the chance to be lectured by Samuel himself.
37,2107,252,5,5,5,5,5,3,5.0,"super enak jelasinnya, bahkan selalu ngasi tau dasar atau filosofinya knp harus pake ini atau itu dll? dan tahapan belajar dimulai dari part2 dan diakhiri dengan contoh secara full dengan sampel data dari awal smpe akhir itu membuat orang jadi paham banget ????"
38,2142,257,5,4,5,4,5,5,4.0,"Karena umumnya waktu berlebih, mungkin setiap awal course bisa diberikan gambaran tentang kegunaan real dari yang akan diajarkan. Disampaikan dalam bentuk yang ringan seperti video atau deskripsi menggunakan papan tulis. Setelah murid mengerti gambaran besarnya, baru masuk ke materi. "
39,2164,259,5,3,5,2,3,3,4.0,Good trainer - given lot of samples and story of  knowladge
40,2179,261,3,4,4,4,4,5,4.0,Mungkin selain pengulangan dgn data yg sama saat latihan bisa diberikan contoh soal baru
41,2201,264,4,4,5,3,4,5,4.0,It would be so much better if the materials are explained in the same order as material powerpoint. I get puzzled if the explanation keep jumping from a slide to another slide not in order (kinda hard to keep the pace)
42,2301,273,5,3,5,5,5,5,5.0,Sam present the difficult topic in the most simplified and well-structured manner as well as giving practical example.
