"Day.Index","Sessions","year"
2014-01-07,57,2014
2014-01-08,194,2014
2014-01-09,196,2014
2014-01-10,209,2014
2014-01-11,168,2014
2014-01-12,162,2014
2014-01-13,167,2014
2014-01-14,178,2014
2014-01-15,195,2014
2014-01-16,211,2014
2014-01-17,250,2014
2014-01-18,232,2014
2014-01-19,201,2014
2014-01-20,210,2014
2014-01-21,231,2014
2014-01-22,185,2014
2014-01-23,228,2014
2014-01-24,224,2014
2014-01-25,219,2014
2014-01-26,219,2014
2014-01-27,185,2014
2014-01-28,161,2014
2014-01-29,226,2014
2014-01-30,123,2014
2014-01-31,78,2014
2014-02-01,131,2014
2014-02-02,111,2014
2014-02-03,203,2014
2014-02-04,193,2014
2014-02-05,241,2014
2014-02-06,357,2014
2014-02-07,314,2014
2014-02-08,307,2014
2014-02-09,295,2014
2014-02-10,330,2014
2014-02-11,369,2014
2014-02-12,399,2014
2014-02-13,407,2014
2014-02-14,408,2014
2014-02-15,299,2014
2014-02-16,281,2014
2014-02-17,326,2014
2014-02-18,300,2014
2014-02-19,307,2014
2014-02-20,294,2014
2014-02-21,325,2014
2014-02-22,309,2014
2014-02-23,266,2014
2014-02-24,342,2014
2014-02-25,313,2014
2014-02-26,272,2014
2014-02-27,281,2014
2014-02-28,310,2014
2014-03-01,287,2014
2014-03-02,252,2014
2014-03-03,266,2014
2014-03-04,260,2014
2014-03-05,313,2014
2014-03-06,280,2014
2014-03-07,320,2014
2014-03-08,314,2014
2014-03-09,307,2014
2014-03-10,263,2014
2014-03-11,307,2014
2014-03-12,234,2014
2014-03-13,293,2014
2014-03-14,342,2014
2014-03-15,319,2014
2014-03-16,286,2014
2014-03-17,267,2014
2014-03-18,409,2014
2014-03-19,331,2014
2014-03-20,356,2014
2014-03-21,398,2014
2014-03-22,344,2014
2014-03-23,285,2014
2014-03-24,277,2014
2014-03-25,260,2014
2014-03-26,262,2014
2014-03-27,345,2014
2014-03-28,287,2014
2014-03-29,284,2014
2014-03-30,273,2014
2014-03-31,281,2014
2014-04-01,294,2014
2014-04-02,306,2014
2014-04-03,333,2014
2014-04-04,330,2014
2014-04-05,329,2014
2014-04-06,287,2014
2014-04-07,309,2014
2014-04-08,294,2014
2014-04-09,305,2014
2014-04-10,307,2014
2014-04-11,307,2014
2014-04-12,274,2014
2014-04-13,326,2014
2014-04-14,256,2014
2014-04-15,272,2014
2014-04-16,276,2014
2014-04-17,298,2014
2014-04-18,344,2014
2014-04-19,308,2014
2014-04-20,267,2014
2014-04-21,259,2014
2014-04-22,263,2014
2014-04-23,241,2014
2014-04-24,319,2014
2014-04-25,370,2014
2014-04-26,274,2014
2014-04-27,279,2014
2014-04-28,280,2014
2014-04-29,247,2014
2014-04-30,311,2014
2014-05-01,350,2014
2014-05-02,388,2014
2014-05-03,271,2014
2014-05-04,252,2014
2014-05-05,293,2014
2014-05-06,288,2014
2014-05-07,301,2014
2014-05-08,314,2014
2014-05-09,350,2014
2014-05-10,333,2014
2014-05-11,297,2014
2014-05-12,350,2014
2014-05-13,395,2014
2014-05-14,292,2014
2014-05-15,307,2014
2014-05-16,371,2014
2014-05-17,303,2014
2014-05-18,273,2014
2014-05-19,254,2014
2014-05-20,233,2014
2014-05-21,267,2014
2014-05-22,303,2014
2014-05-23,333,2014
2014-05-24,306,2014
2014-05-25,274,2014
2014-05-26,310,2014
2014-05-27,301,2014
2014-05-28,330,2014
2014-05-29,354,2014
2014-05-30,385,2014
2014-05-31,301,2014
2014-06-01,276,2014
2014-06-02,286,2014
2014-06-03,303,2014
2014-06-04,293,2014
2014-06-05,315,2014
2014-06-06,396,2014
2014-06-07,328,2014
2014-06-08,275,2014
2014-06-09,350,2014
2014-06-10,327,2014
2014-06-11,314,2014
2014-06-12,366,2014
2014-06-13,344,2014
2014-06-14,289,2014
2014-06-15,278,2014
2014-06-16,329,2014
2014-06-17,316,2014
2014-06-18,328,2014
2014-06-19,328,2014
2014-06-20,334,2014
2014-06-21,295,2014
2014-06-22,306,2014
2014-06-23,291,2014
2014-06-24,273,2014
2014-06-25,305,2014
2014-06-26,303,2014
2014-06-27,304,2014
2014-06-28,260,2014
2014-06-29,238,2014
2014-06-30,278,2014
2014-07-01,275,2014
2014-07-02,280,2014
2014-07-03,324,2014
2014-07-04,409,2014
2014-07-05,287,2014
2014-07-06,235,2014
2014-07-07,316,2014
2014-07-08,372,2014
2014-07-09,275,2014
2014-07-10,301,2014
2014-07-11,308,2014
2014-07-12,294,2014
2014-07-13,274,2014
2014-07-14,284,2014
2014-07-15,285,2014
2014-07-16,291,2014
2014-07-17,326,2014
2014-07-18,313,2014
2014-07-19,299,2014
2014-07-20,221,2014
2014-07-21,258,2014
2014-07-22,256,2014
2014-07-23,279,2014
2014-07-24,288,2014
2014-07-25,290,2014
2014-07-26,280,2014
2014-07-27,293,2014
2014-07-28,296,2014
2014-07-29,250,2014
2014-07-30,269,2014
2014-07-31,285,2014
2014-08-01,316,2014
2014-08-02,291,2014
2014-08-03,267,2014
2014-08-04,259,2014
2014-08-05,264,2014
2014-08-06,278,2014
2014-08-07,303,2014
2014-08-08,343,2014
2014-08-09,265,2014
2014-08-10,226,2014
2014-08-11,252,2014
2014-08-12,241,2014
2014-08-13,252,2014
2014-08-14,281,2014
2014-08-15,285,2014
2014-08-16,244,2014
2014-08-17,227,2014
2014-08-18,261,2014
2014-08-19,280,2014
2014-08-20,304,2014
2014-08-21,287,2014
2014-08-22,342,2014
2014-08-23,260,2014
2014-08-24,270,2014
2014-08-25,284,2014
2014-08-26,234,2014
2014-08-27,254,2014
2014-08-28,272,2014
2014-08-29,273,2014
2014-08-30,265,2014
2014-08-31,242,2014
2014-09-01,246,2014
2014-09-02,258,2014
2014-09-03,231,2014
2014-09-04,345,2014
2014-09-05,287,2014
2014-09-06,257,2014
2014-09-07,214,2014
2014-09-08,274,2014
2014-09-09,229,2014
2014-09-10,248,2014
2014-09-11,315,2014
2014-09-12,309,2014
2014-09-13,241,2014
2014-09-14,207,2014
2014-09-15,229,2014
2014-09-16,237,2014
